xldataset,broader
Modern Hydroclimatology of study area,NA
Modern pollen/climate model fro analogue,NA
Modern-day climate reconstructed using site density at 2500 cal/yr BP,NA
NA,NA
Natural modes for variability in low-pass filtered data over last century;,NA
NDVI image with record sites,NA
Neotoma and LAPD pollen sites,NA
NMDS plots of each formation separately,NA
NMDS plots of GCP samples using incidence data and Jaccard coefficient,NA
non-metric multidimensional scaling of relative abundance,NA
Normalized percent pollen diagrams for taxa in multiple regions,NA
Nucleotide diversity; haplotype frequency; and genetic distances.,NA
Number of fossil pollen sites per region,NA
Number of sites for presence of certain taxa,NA
Number of sites per grid cell used in reconstruction method,NA
Observed climate data and spatial variations in corrleation between observed and reconstructed models,NA
Observed LAI values vs reconstructed values,NA
Observed tree cover vs analog pollen technique,NA
Observed vs modeled pollen abundances - Fraxinus,NA
Observed vs modeled pollen abundances - Quercus,NA
Onset of drier conditions versus longitude,NA
Outlier detection analysis,NA
Output from chronology model run,NA
Overlap of pollen sites in climate space,NA
Overview of leave-one-out test,NA
Palaeoclimate model,NA
Palaeoecological record from lakes,NA
Palaeospecies-area relationship for all mammals at continental scale,NA
Palaeospecies-area relationship for large mamals at continental scale,NA
Palaeospecies-area relationship for large mammals per biogeographical province,NA
Palaeospecies-area relationship for small mammals at continental scale,NA
Palaeospecies-area relationship for small mammals per biogeographical province,NA
Paleoecological records showing emergence and turnover of ecosystems,NA
Paleoenvironmental proxies plotted against time,NA
Paleoenvironmental reconstruction with present localities and climate.,NA
Paleohydric balance indices,NA
PalEON domain including certain sites,sample sites; geography
Paleontological localities and archaeological sites of study,NA
Paleovegetational sites showing abruptnes in vegetation change in early Holocene,NA
Palynofloral diversity,pollen
Palynological spectra profile,pollen
"Partial ecological
distance along the gradient of summer temperature",NA
Past/present biomes based on midden and pollen samples,NA
Patterns of attribution of causes of significant taxon pair through time,NA
PC image of area,NA
PCA of fossil pollen data,pollen; statistical
Percent of biome occurrences,landcover
Percent pollen diagram for site,pollen
Percentage of biogeography publications,statistical
Percentage of deviance by GDM over time; proportion of deviance,NA
Percentage of taxa per time period with changes in area,NA
Phylogenetic relationships among plant families,genetic
Picture of site,sample sites
PIE index for each time bin,statistical
Pie Symbol Map of relative composition of tree genera of pollen and PLS vegetation from data,landcover
Pinus establishment in Canada (ages),pollen; chronology
Plot of GCP samples and taxa,NA
Plot of posterior stochastically interpolated volatilities,statistical
Plots of alnus pollen at two sites,pollen
Plots of modern climatic ranges of vegetation,landcover; climate
Plots of sites comparing temp and precip,sample sites; climate
point density of modern pollen data in North America by relative area,pollen; sample sites
Polar jet stream positions,climate
Pollen % Abundances,pollen
Pollen abundance,pollen
Pollen abundance over time,pollen
Pollen abundances vs growing degree days,pollen; climate
Pollen abundances vs soil moisture of different taxa,pollen; climate
Pollen and charcoal records over time with standard deviation,pollen; charcoal
Pollen and vegetation proportions of different taxa: pre-settlement and present,pollen; landcover
Pollen core sites,pollen; sample sites
Pollen depth diagrams for different taxa,pollen; depth
Pollen diagram locations and vegetation zones,pollen; landcover; sample sites
Pollen diagrams for sediment profiles from Anderson Pond; 1976 and 2007,pollen; depth; chronology
Pollen percentage data with confidence level data,pollen
Pollen percentages for different taxa,pollen
Pollen percentages from midden,pollen; middens
Pollen productivity estimates versus sets of previously published estimates from different geographical regions,pollen
Pollen proportion vs vegetation proportion,pollen; landcover
Pollen proportions plotted against local vegetation proportions or local vegetation proportion scaled by pollen production factor phiK for variable power-law kernel model,pollen; landcover
Pollen proportions plotted against local vegetation proportions or model-predicted pollen for the variable PLK model.,pollen; landcover
Pollen sample locations,pollen; sample sites
Pollen sample transect percentages; Location of samples in cave diagram,pollen; sample sites
Pollen samples plotted with precip vs temp along with climate space and biomes,pollen; climate; landcover
Pollen sequence distribution,NA
Pollen Site Frequency,NA
Pollen site locations,sample sites
Pollen site samples; vegetation formations; and biomes of modern day and LGM,NA
Pollen sites,NA
Post-glacial re-colonization of taxa over time,NA
Potential fossil records over time with area size,NA
Precip,climate
Predicted rate of compositional turnover across space in NA vegetation communities,NA
Predictive ability of GDMs when calibrated using data within one set of times,NA
Preliminary pattern of succession of a fauna,NA
Presence and abssence of pollen with ice cover,NA
Presence/absence of taxa fossils at LGM assemblages,NA
Principal component biplots of regional anomalies of july temperature,climate; statistical
Prior and posterior distributions of volatility parameters,statistical
Procedure for quantitative reconstructions.,conceptual
Process of predicting species distribution,conceptual
Process of reducing submitted questions,conceptual
Proportion of taxon pairs from 21k to present; attribution of causes of significantly segregated pairs,NA
Proxy water-table depth reconstructions based on amoeba assemblages and pollen records,climate; pollen; testate amoebae
Proxy-climate records of past 2000yrs compared to instrument-derived records of 20th century,climate
Quality of sites,NA
Radiocarbon calibration curve for estimates of decline age at two sites,chronology; events
Radiocarbon calibration curve for time period around hemlock decline,chronology; events
Range of dimate dissimilarity and model predictions for different time periods,NA
Range shift of taxa through last glacial/interglacial cycle,NA
Rank-order abundance ranks across time bins for each taxon,NA
Ratios; bulk density and LORCA for cores vs age,NA
Raup-Crick analysis of fauna.,NA
Reconstructed aboveground carbon for regions over time,NA
Reconstructed climate models - 21ka,NA
Reconstructed climate models - 6ka,NA
Reconstructed climate models from different data and methods,NA
Reconstructed distribution of broad leaved tree cover for different time periods,NA
Reconstructed distribution of needle leaved tree cover for different time periods,NA
Reconstructed distribution of woody cover for different time periods,NA
Reconstructed vs simulated RLAIs,NA
Reconstruction of taxa colonization pathways inferred from pollen records,pollen; geography
Regional averages of mean temperature of warmest month anomalies over time,climate
Regional mean July temp time series from pollen diagrams,climate; pollen
Regional synthesis with composite pollen-based indices,NA
Regression models for pinus abundance vs latitude; Jan. Temp,pollen; climate; geography
Relationship between biotic and climate velocities over time and space,landcover; climate
Relationships between arboreal pollen percentages in sediment samples,pollen
Relative abundance fluctuations of most common small mammals at site,faunal
Relative abundance of ground squirrels WRT voles and lemmings,faunal
Relative abundances for certain taxa,NA
Relative abundances of each taxon through time,NA
Representations of late Pleistocene and modern plant associations as biomes and multitaxon isopoll maps,NA
Research orientated representation of database structure,conceptual
Response surfaces depicting the relative abundance of pollen from modern samples,pollen; statistical
RMSE for linear regressions of observed versus analog-reconstructed estimates (TSum; TWin; PSum; PWin; %Woody),climate; statistical
Sample locations and size and desert regions,sample sites; geography
Sample Locations within W. Amazonia,sample sites
Sample sites in vegetation cover polygons,sample sites
Sampling scheme used in study,NA
SCD analog measure and LGM affinity score ratio,NA
SCD between adjacent time intervals (veg change),NA
SCD between pollen assemblages in sediment core and modern grassland assemblages,NA
SCD distribution for modern sample sites,NA
SCD distribution of pollen sites,NA
SCD from 6ka,NA
SCD values for top 5 analogs for different biomes,NA
Schematic cross-section of entrance and talus of cave,NA
Schematic diagram of neural network with single neuron,NA
Schematics of three types of realized climatic niche responses,climate; statistical
Scores of pollen assemblages PCA,pollen; statistical
Screenshot of prototype of mapping interface,NA
Several stages in evolution of reconstructed july temp based on different papers,NA
Shifting position and steepness of northern forest-tundra ecotone for multiple regions,landcover
Shifts in prairie-forest ecotone during Holocene,landcover
Significant events that may have impacted C storage,events
Significant predictors of compositional dissimilarity at each time period,statistical
Similarities between observed and predicted pollen abundances,pollen; statistical
Similarities between past and present climatic niches for different taxa,climate; taxa
Simple decline scenario and pre-decline fluctuation scenario,NA
Simulated time series of mean annual temperature; precip; and sunshine for all regions,climate
Simulations using site records,NA
Site distribution with ice sheet,sample sites
site locations,sample sites
Site locations,sample sites
Site Locations,sample sites
Site locations and sample type,sample sites
Site locations by reconstruction method in geographic space,sample sites
Site locations by reconstruction method in vegetation space,sample sites
Sites from databases,sample sites
Sites in pollen databases,sample sites
Skeletons of mammoths and mastodon,NA
Slope map with fossil localities,sample sites; geography
Snippet of USGS Quadrangle Map,geography
Soil charcoal distributions and phtyolith % in soil cores,sample sites; phytolith; charcoal
Spatial and temporal dataset construction of temporal turnover and fitted functions for Late Quaternary dataset,NA
Spatial and temporal distribution of fossil pollen samples,sample sites
spatial autocorrelogram for pollen types,pollen; statistical
Spatial data models of butternut FIA data,NA
Spatial distribution of deposits,NA
Spatial distribution of deposits from different times,NA
Spatial distribution of taxa,NA
Spatial distribution of temperature residuals;  distribution of Moran's I,NA
Spatial distribution of the decline of a taxa,NA
Spatial patterns and predictors of climate volume and mismatch.,NA
Spatial Proximity analysis over hillshade with fossil localities,NA
Spatial; temporal; and taxonomic patterns of no-analog communities in NA,NA
Stacked frequency curve for probability values,NA
Statistics of variables in map,NA
Statistics with each taxa discussed in paper,NA
STEPPS 90% capture radius versus measured falling speeds,NA
Strat columns of localites,NA
Strat plots for site for multiple taxa,NA
Stratigraphic occurrences of five species of snail,NA
study area location,geography
Study extent in USA,geography
Study region with pollen/charcoal record locations and 14C date sites,geography; sample sites
Study site; coring site,sample sites
Suggested trajectory of land carbon storage,NA
Summary diagrams of pollen and soils,pollen
Summary of climatic and biotic components of the explanatory models for plant diversity,NA
Summary of community climate framework,NA
Summed probability distribution curves,NA
Summed probability distribution curves for fossil and archaeological samples,NA
Summed probablities for calibration of hemlock age determination,NA
Summer temperatures and predicted dissimilarity,NA
Surface approximation of probability of occurence for certain taxa,NA
Surface profile graph,NA
Surficial materials  and study sites,NA
Taxa distribution and fossil sites,NA
taxa dominant zones,NA
Taxonomic richness in pollen record comparison and Age vs insolation measurements,pollen; climate; chronology
Temperature and Precip represented for two months in a year.,climate
Temperature and precipitation data for several time periods in N. America,climate
Temperature fluctuations over time period,climate
Temperature; drought; and vegetation probability depictions,climate; landcover
Temporal associations between archeological data and pollen taxa,NA
Temporal distribution of fossil records in N. America,NA
Temporal distribution of pollen samples,NA
Temporal frequency distributions for fossil and archaeological samples,NA
Temporal relationship between taxa % at each site,NA
Testate amoebae from core,testate amoebae
Testate amoebae-inferred water-table depths,testate amoebae
The proportion of deposited (or accumulated) pollen plotted as a function of radius for each of the modeled taxa and for each of the four considered models,pollen; landcover
Threatened species and their representation in fossil record,taxa
Three main components of biodiversity and relationships to various disciplines,conceptual
Time of first arrival of certain taxa,taxa
Timing of fire onset; increases and decreases in certain taxa,climate; charcoal; taxa
Timing of onset drier conditions and how rapid those changes occurred,climate
timing of onset to drier conditions and rapid responses to drying,climate
Topics of paleoecoinformatics,conceptual
Tree Diagram of species clusters,statistical
TSD for regional july temperature anamolies,climate
Uncertainty Map of taxa,statistical; taxa
Validation of hydrologic and climatic sensitivity,climate
Values of SCD for all pollen spectra and # of sites to compute regional curves,pollen; statistical
Variation in annual precipitation,climate
Various climatic measurements,climate
vector map showing best modern analog,statistical; sample sites; geography
Vegetation and Biome change,landcover
vegetation and land cover,landcover
Vegetation cover/biome,landcover
Vegetation proportion vs pollen proportion (same as last but inverted),landcover; pollen
Visualization of approach to model core distributions. Climate data; pollen abundances,climate; pollen
Visualization of the processes affecting relative amts of pollen of different taxa in sediment core,conceptual
Water table depth; fire; and dominant pollen changes,pollen; climate; charcoal
Woolly mammoth extinction timing,chronology; faunal
